Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Decarbonization,Alternative generation,Constructis,"REX Power Module’ the technology is buried into the roadway with only the rumble strip exposed. When a vehicle rolls over the REX, the rumble strip depresses downwards, where the motion is converted into energy.",roadway power generation,,https://www.constructis.net/rex/,,United States of America,English,2015,,,USD,,,,,,,,,,,,
Electrification,EV,Cuberg,"We combine next-generation battery technology, world-class R&D expertise, and a global manufacturing capacity to enable entirely new modes of all-electric transportation.",,,https://cuberg.net/,,United States of America,English,2015,M&A,"$224,950",USD,224950,,,,,,,,,,,
Clean Energy,Water Purification,Desolenator,"Solar-powered water purification system for off-grid, coastal, or remote use","Solar Desalination, Water Access",,desolenator.com,@desolenator,United Kingdom,English,2015,Private,£4M,USD,5320000,,,,,,,,,,,
Other,Microgrids,Electric Vine Industries,Smart microgrid systems for energy access in rural and island communities,"Microgrids, Decentralized Energy",,electricvine.com,,Indonesia,English,2015,Private,,USD,,,,,,,,,,,,
Digitalization,Blockchain,Electron,"Electron is a start-up harnessing blockchain technologies to design more efficient, resilient and flexible systems for the energy sector.",Blockchain,,https://electron.net/,@ElectronDLT,United Kingdom,English,2015,Seed,"£6,965,900",USD,9264647,,,,,,,,,,,
Digitalization,Energy efficiency,Energiency,"A company that provides energy management and optimization solutions for industrial customers, helping them reduce costs and improve efficiency.",,,,@energiency,France,English,2015,,,USD,,,,,,,,,,,,
Other,Water Reuse,Epic Cleantec,Decentralized water reuse systems for buildings and commercial infrastructure,"Water Circularity, Greywater",,epiccleantec.com,@EpicCleantec,United States of America,English,2015,Private,$10M,USD,10000000,,,,,,,,,,,
Decarbonization,Equipment,Etihad Energy Services,"A company that offers energy efficiency solutions for buildings and facilities, including audits, retrofits, and performance contracting.",,,,@EtihadESCO,United Arab Emirates,English,2015,,,USD,,,,,,,,,,,,
Other,Electric Aviation,Eviation,Developer of the Alice electric aircraft for regional flights,"Electric Aviation, Zero Emissions",,eviation.com,@eviationaircraft,Israel,English,2015,Private,$200M+,USD,200000000,,,,,,,,,,,
Clean Energy,Urban Mobility,Evovelo,Builds enclosed solar-powered electric tricycles (mö) for urban transport,"eMobility, Solar Vehicles",,evovelo.com,,Spain,Spanish,2015,Private,,USD,,,,,,,,,,,,
Decarbonization,Baseload,HH2E,"The HH2E-Werk transforms a variable input of sun and wind energy into a stable flow of cost-effective carbon-free heat, green hydrogen and electricity to supply local industries and municipalities.",,,https://www.hh2e.de/en/,@HH2e2,Germany,English,2015,Early Stage Venture,"$12,000,000",USD,12000000,,,,,,,,,,,
Other,Water Recycling,Hydraloop,Smart water recycling systems for households and buildings,"Water Reuse, Smart Home",,hydraloop.com,@Hydraloop,Netherlands,English,2015,Private,$10M,USD,10000000,,,,,,,,,,,
Electrification,EV,Leap Motor,"smart electric vehicle design, research , development, manufacturing and cloud-based connection system",,,https://www.leapmotor.com/,,China,Chinese,2015,,,USD,,,,,,,,,,,,
Other,Electric Aviation,Lilium,Developer of electric vertical takeoff and landing (eVTOL) aircraft,"eVTOL, Electric Jets",,lilium.com,@Lilium,Germany,English,2015,Public (NASDAQ: LILM),$1B+,USD,1000000000,2021,,,,,,,,,,
Electrfication,Boats,Molabo,"ISCAD V50 is the first high power 48V electric motor for boats and yachts that comes compact, lightweight and with eco-friendly design.",,,https://molabo.eu/#maincontent,,Germany,English,2015,,,USD,,,,,,,,,,,,
Other,Water Purification,NanoSpun,Bio-fabrication of membranes for wastewater treatment and clean water generation,"Filtration, Bioengineering",,nanospun.com,,Israel,English,2015,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Neuville Grid data,"Neuville Grid Data and its international research partners are developing a ground-breaking power grid monitoring capability. Its advanced sensor network collects ultra-high-resolution, time-series data on electric grid conditions to enhance and enable power quality management; renewable energy generation; energy storage services; smart grid operations; reduced energy losses; equipment condition monitoring; capital investment and more.",Grid monitoring,,https://www.neuville.co.uk/,,United Kingdom,English,2015,,,USD,,,,,,,,,,,,
Clean Energy,Solar Silicon,Nexwafe,"Develops ultra-thin, low-cost solar wafers from recycled silicon","PV Manufacturing, Thin Silicon",,nexwafe.com,@NexWafe,Germany,English,2015,Private,€70M,USD,78750000,,,,,,,,,,,
Other,Alt Protein,NotCo,"Uses AI to create plant-based versions of dairy, meat, and eggs","Plant-Based, Food AI",,notco.com,@thenotco,Chile,English,2015,Private,$370M,USD,370000000,,,,,,,,,,,
Other,Clean Energy Retail,Octopus Energy,Provides renewable electricity to homes and businesses with smart billing,"Retail Energy, Smart Metering",Utility,octopus.energy,@OctopusEnergy,United Kingdom,English,2015,Private,£1B+,USD,1330000000,,,,,,,,,,,
Other,Food Waste App,OLIO,Food-sharing app connecting neighbors and businesses to reduce waste,"Food Waste, Circular Economy",,olioex.com,@OLIO_ex,United Kingdom,English,2015,Private,£50M+,USD,66500000,,,,,,,,,,,
Other,Wave-Powered Desalination,Oneka Technologies,Develops floating desalination systems powered by ocean waves,"Desalination, Off-grid Water",,onekawater.com,@OnekaWater,Canada,English,2015,Private,$20M,USD,20000000,,,,,,,,,,,
Other,Autonomous Mobility,Optimus Ride,Develops autonomous electric shuttles for campus and urban transport,"Autonomous EVs, Smart Cities",,optimusride.com,,United States of America,English,2015,Acquired (by Magna),,USD,,,,,,,,,,,,
Decarbonization,Circular economy,Opus 12,Uses renewable energy to convert carbon dioxide into valuable chemicals and fuels.,Net zero,,https://www.twelve.co/,@twelve_co2,United States of America,English,2015,,,USD,,,,,,,,,,,,
Digitalization,AI,PowerShare,"Energy digitalization cloud solution based on AI, big data and internet of things+ Technology","digitization energy services, battery performances, charging and discharging technology",,https://powershare.com.cn/,,China,Chinese,2015,,,USD,,,,,,,,,,,,
Other,Plastic Recycling,PureCycle Technologies,Recycles polypropylene waste into ultra-pure recycled resin (UPRP),"Circular Plastics, Polypropylene",Supplier,purecycle.com,@PureCycleTech,United States of America,English,2015,Public (NASDAQ: PCT),$400M+,USD,400000000,2021,,,,,,,,,,
Digitalization,AI,Raycatch,Raycatch is an Israeli startup that uses artificial intelligence to optimize the performance of solar energy systems. The company's software platform helps to increase the efficiency of solar panels and reduce maintenance costs.,Solar,,https://raycatch.com/,,Israel,English,2015,,,USD,,,,,,,,,,,,
Other,Battery Repurposing,Relectrify,Integrates BMS + inverter to extend the life of repurposed EV batteries,"Battery Reuse, Inverter Tech",,relectrify.com,@Relectrify,Australia,English,2015,Private,$6M+,USD,6000000,,,,,,,,,,,
Clean Energy,Distributed Solar,Rensource,Provides distributed solar energy services and infrastructure in Nigeria,"Solar Access, Energy Infrastructure",,rensource.energy,,Nigeria,English,2015,Private,$20M+,USD,20000000,,,,,,,,,,,
Electrification,EV,Revo Power Trains,"Wrightspeed uses high-power electric drive with micro-turbine generators and develops hybrid-electric powertrains for heavy duty trucks. This design provides performance, superior power, fuel efficiency, and the lowest emissions for trucks operating in fuel-guzzling applications. The technology can be installed in existing trucks, lowering emissions and noise while allowing the aging vehicles to remain on the road when they might otherwise be scrapped.",,,https://www.revopowertrains.com/,,United States of America,English,2015,,,USD,,,,,,,,,,,,
Other,Sustainable Sanitary Pads,Saathi,Produces biodegradable sanitary pads from banana fiber for underserved communities,"Women's Health, Biodegradable Hygiene",,saathipads.com,@saathipads,India,English,2015,Private,$2M+,USD,2000000,,,,,,,,,,,
Carbon Management,Bioenergy,Safi Organics,Converts agricultural waste into biochar-based fertilizer to improve crop yield,"Biochar, Soil Carbon, Circular Ag",,safiorganics.co.ke,,Kenya,English,2015,Private,,USD,,,,,,,,,,,,
Decarbonization,Cooling,Sky cool,"SkyCool Systems developed a thin film coating that can stay cooler than the ambient air temperature even when under direct sunlight. The film can be applied directly on outdoor surfaces including vehicles, electronics boxes, and building roofs to keep them cool 24/7.",,,https://www.skycoolsystems.com/,@SkyCoolSystems,United States of America,English,2015,,,USD,,,,,,,,,,,,
Other,Circular Bioeconomy,Soilfood,Turns industrial sidestreams into soil enhancers for agriculture,"Soil Regeneration, Circular Economy",,soilfood.fi,,Finland,Finnish,2015,Private,€3M+,USD,3375000,,,,,,,,,,,
Electrification,EV components,Soolutions,"Soolutions offers a complete range of charging cables for all electric cars. You will find the best cables, for any electric car, currently on the market in the Netherlands. Within the range, you will find charging cables of various lengths and types.",,,https://www.cablesoolutions.shop/en/,,Netherlands,English,2015,,,USD,,,,,,,,,,,,
Other,Dielectric Materials,Superdielectrics,Develops advanced dielectric polymers for ultra-capacitor energy storage,"Energy Storage, Capacitor Materials",,superdielectrics.com,,United Kingdom,English,2015,Private,£15M+,USD,19950000,,,,,,,,,,,
Digitalization,EV,Suzhou Recodeal,R&S and produce connection system for new energy vehicle and industries,,,http://en.recodeal.com/,,China,Chinese,2015,,,USD,,,,,,,,,,,,
Other,Hydrogen Storage,Sylfen,Develops energy storage systems combining hydrogen and batteries for buildings,"Hybrid Storage, Building Energy",,sylfen.com,@Sylfen_Energy,France,English,2015,Private,€10M+,USD,11250000,,,,,,,,,,,
Other,Regenerative Agriculture,Tierra Viva,Works with indigenous communities to restore degraded land via agroecology,"Regenerative Ag, Indigenous Knowledge",,tierravivacoop.com,,Bolivia,Spanish,2015,Nonprofit,,USD,,,,,,,,,,,,
Other,Food Waste Reduction,Too Good To Go,App that connects users with restaurants to rescue unsold food,"Food Waste, Circular Economy",,toogoodtogo.com,@TooGoodToGo,Denmark,English,2015,Private,$45M+,USD,45000000,,,,,,,,,,,
Other,Electrofuels,Twelve (Opus 12),"Converts CO₂ into useful products like fuels, plastics, and detergents using electricity","CO₂ Reuse, Electrofuels",,twelve.co,@TwelveHQ,United States of America,English,2015,Private,$200M+,USD,200000000,,,,,,,,,,,
Other,Biotech Materials,Unspun,"Uses AI and robotics to create zero-waste, 3D woven garments on demand","Circular Fashion, AI Manufacturing",,unspun.io,@unspun_io,United States of America,English,2015,Private,$25M+,USD,25000000,,,,,,,,,,,
Other,Smart Energy Management,Virtual Peaker,Platform for utilities to manage distributed energy resources and demand response,"DERMS, Smart Grid, Flexibility",Utility Partner,virtualpeaker.io,@VirtualPeaker,United States of America,English,2015,Private,$10M+,USD,10000000,,,,,,,,,,,
Electrification,EV,Wallbox,Smart charging solutions for electric and plug-in hybrid vehicles for home and commercial use.,,,,,Spain,Spanish,2015,,,USD,,,,,,,,,,,,
Electrification,EV,WM Motor,new energy vehicle producer,,,,,China,Chinese,2015,,,USD,,,,,,,,,,,,
Digitalization,AI,XCharge,"Integrating hardware with software to maximize charging revenue (turnover mechanism), while minimizing maintenance costs (OTA upgrades and diagnosis)",Intelligent power charging. Chinese,,https://www.xcharge.com/en/,,China,Chinese,2015,,,USD,,,,,,,,,,,,
Other,Smart Metering,Zen Ecosystems,Offers energy management platforms for commercial buildings,"Smart Thermostats, Commercial Energy",,zenecosystems.com,@ZenEcoSystems,United States of America,English,2015,Private,$15M+,USD,15000000,,,,,,,,,,,
Carbon Management,SonderMind,SonderMind - Innovation Area,SonderMind is a startup focused on sustainability solutions.,"sondermind, sustainability",Environmental Impact,https://www.sondermind.com,https://twitter.com/sondermind,Netherlands,English,2015,Series B,$87M,USD,45381299,,,,,,,,,,,
Clean Energy,Next Energy Technologies,Next Energy Technologies - Innovation Area,Next Energy Technologies is a startup focused on sustainability solutions.,"next energy technologies, sustainability",Environmental Impact,https://www.nextenergytechnologies.com,https://twitter.com/nextenergytechnologies,UK,English,2015,Series C,$107M,USD,141730381,,,,,,,,,,,
Other,Energy Storage,Aceleron,"Develops serviceable, upgradeable, and recyclable lithium-ion batteries to reduce battery waste and promote circular economy.","Battery, Circular Economy",,aceleronenergy.com,,United Kingdom,English,2016,Private,£10.6 million,USD,14098000,,,,,,,,,,,
Other,Electric Aviation,Ampaire,Develops hybrid-electric aircraft to reduce emissions and operating costs in regional air travel. Ampaire,Hybrid-Electric Aircraft,,ampaire.com,,United States of America,English,2016,Private,,USD,,,,,,,,,,,,
